Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
63,Szeged70,438.662500,-,7.600000,Tone,131.8,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
64,Koszar70,438.700000,-,7.600000,Tone,107.2,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
65,Nyiregy70,438.725000,-,7.600000,Tone,131.8,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
66,Cegled70,438.800000,-,7.600000,Tone,114.8,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
67,Kiskoh70,438.862500,-,7.600000,Tone,114.8,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
68,GyorNyul2,145.637500,-,0.600000,TSQL,88.5,107.2,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
69,GyorNyul70,438.987500,-,7.600000,Tone,107.2,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
70,Szombath70,439.125000,-,7.600000,Tone,107.2,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
71,Kabhegy70,439.450000,-,7.600000,Tone,107.2,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
72,Zalaeger2,145.662500,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
73,Kiskunf70,438.950000,-,7.600000,Tone,131.8,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
74,Kiskunf2,145.762500,-,0.600000,Tone,131.8,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
75,PKiskun,446.105000,,0.000000,Tone,100.0,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,Papagaj Kiskunfelegyhaza,,,,
76,PSzolnok,446.056250,,0.000000,Tone,100.0,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,Papagaj Szolnok,,,,
77,PPecsi,446.181250,,0.000000,Tone,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,Papagaj Pecsi,,,,
78,BP_APPR,122.975000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,25.00,,5.0W,BP Approach,,,,
79,EK_TAJ,134.850000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,25.00,,5.0W,Eszak-Kelet tajekoztato,,,,
80,NYUG_TAJ,125.500000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,25.00,,5.0W,Nyugat tajekoztato,,,,
81,KELET_TAJ,133.000000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,25.00,,5.0W,Kelet tajekoztato,,,,
82,TWRLHBP1,118.100000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,25.00,,5.0W,Liszt Ferenc TWR1,,,,
83,TWRLHBP1,119.975000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,25.00,,5.0W,Liszt Ferenc TWR2,,,,
84,GODOLLO,119.060000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,25.00,,5.0W,Godollo repter,,,,
85,TWR_HHH,120.300000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,25.00,,5.0W,Hármashatárhegy reptér,,,,
86,V16,145.200000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,Amator Szimplex 2m,,,,
87,V17,145.212500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
88,V18,145.225000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
89,V19,145.237500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
90,V20,145.250000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
91,V21,145.262500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
92,V22,145.275000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
93,V23,145.287500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
94,V24,145.300000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
95,V25,145.312500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
96,V26,145.325000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
97,V27,145.337500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
98,V28,145.350000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
99,V29,145.362500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
100,V30,145.375000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
101,V31,145.387500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
102,V32,145.400000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
103,V33,145.412500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
104,V34,145.425000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
105,V35,145.437500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
106,V36,145.450000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
107,V37,145.462500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
108,V38,145.475000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
109,V39,145.487500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
110,V40,145.500000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
111,V41,145.512500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
112,V42,145.525000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
113,V43,145.537500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
114,V44,145.550000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
115,V45,145.562500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
116,V46,145.575000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
117,V47,145.587500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
